product_uid,product_slug,product_display_name,product_category_slug,product_category_display_name,price_minor,currency_code,customizable_flag,description,image_url,external_tysso_sku,external_barcode,is_active_flag,created_at_utc,updated_at_utc
6d7561f9-74ec-5a6c-8aa3-f1b7953e0cbe,espresso,Espresso,hot_drinks,Hot Drinks,1800,AED,1,"A strong, concentrated shot of coffee.",,,,1,,
d9b16b63-43ac-56eb-a6f8-9a3e1a705ed4,piccolo,Piccolo,hot_drinks,Hot Drinks,2200,AED,1,Tasty Piccolo from the DopaBeans menu.,,,,1,,
f3825f9c-74e8-5e8f-af86-94c356806c96,cortado,Cortado,hot_drinks,Hot Drinks,2400,AED,1,Balanced espresso with a small amount of warm milk.,,,,1,,
a28fc4c6-e009-55c6-88e1-6fbb3025da6a,cappuccino,Cappuccino,hot_drinks,Hot Drinks,2500,AED,1,Espresso topped with steamed milk foam.,,,,1,,
a82cdf6a-ab83-5097-90c9-10c7c2709e7e,americano,Americano,hot_drinks,Hot Drinks,2100,AED,1,Espresso diluted with hot water for a milder taste.,,,,1,,
569b336c-6bdf-5b5e-9b59-09c92927304f,flat_white,Flat White,hot_drinks,Hot Drinks,2500,AED,1,Espresso with velvety microfoam milk.,,,,1,,
c38900f2-41a6-5dd2-8478-acd62ffcc560,latte,Latte,hot_drinks,Hot Drinks,2500,AED,1,Smooth espresso with steamed milk and foam.,,,,1,,
15df10a8-2129-5f90-bc1a-7350c745b61b,spanish_latte,Spanish Latte,hot_drinks,Hot Drinks,2800,AED,1,Sweet Spanish-style latte with milk.,,,,1,,
9a8b6db1-7250-548a-9a45-b0dff03ad850,dopabeans_signature_hot,DopaBeans Signature Hot,hot_drinks,Hot Drinks,3500,AED,1,DopaBeans signature hot drinks blend.,,,,1,,
276e9914-8479-509f-85f9-8a1fb91d7232,spanish_cortado,Spanish Cortado,hot_drinks,Hot Drinks,2500,AED,1,Balanced espresso with a small amount of warm milk.,,,,1,,
b49b206c-19ec-5450-894a-34f6c084de36,pistachio_latte,Pistachio Latte,hot_drinks,Hot Drinks,3000,AED,1,A creamy latte infused with pistachio flavor.,,,,1,,
d82eacf0-d632-56e6-b0b0-c4b30259548d,dopabeans_signature_cold,DopaBeans Signature Cold,cold_drinks,Cold Drinks,3500,AED,1,DopaBeans signature cold drinks blend.,,,,1,,
473547b5-9713-5048-b268-2014ba4e0a02,iced_spanish_latte,Iced Spanish Latte,cold_drinks,Cold Drinks,2800,AED,1,Sweet Spanish-style latte with milk.,,,,1,,
532d673d-c2a6-5162-9d09-2e8e63e6f6c6,iced_latte,Iced Latte,cold_drinks,Cold Drinks,2500,AED,1,Smooth espresso with steamed milk and foam.,,,,1,,
88846d0a-6959-59e3-8289-565c3679141f,iced_americano,Iced Americano,cold_drinks,Cold Drinks,2200,AED,1,Espresso diluted with hot water for a milder taste.,,,,1,,
180502b2-dfc9-5bb3-a34a-e4fe86d4d40c,iced_pistachio_latte,Iced Pistachio Latte,cold_drinks,Cold Drinks,3000,AED,1,A creamy latte infused with pistachio flavor.,,,,1,,
da159990-8bf8-5926-8303-dde5491d5b60,iced_tea,Iced Tea,cold_drinks,Cold Drinks,2300,AED,1,Refreshing Iced Tea beverage.,,,,1,,
26b0f76d-0cce-53b2-aeb5-7e9066520b7e,iced_tea_passion,Iced Tea Passion,cold_drinks,Cold Drinks,2300,AED,1,Refreshing Iced Tea Passion beverage.,,,,1,,
6cb75bd6-6147-5005-babf-f4f5772bd3a2,iced_tea_peach,Iced Tea Peach,cold_drinks,Cold Drinks,2300,AED,1,Refreshing Iced Tea Peach beverage.,,,,1,,
1dc5c732-0a83-52b0-acab-485adbbddd78,iced_tea_strawberry,Iced Tea Strawberry,cold_drinks,Cold Drinks,2300,AED,1,Refreshing Iced Tea Strawberry beverage.,,,,1,,
41816d1e-2db2-5d88-a936-7659220889c2,regular_matcha,Regular Matcha,matcha,Matcha,2950,AED,0,Japanese green tea regular matcha with milk or flavor twist.,,,,1,,
a27b9ee7-7e7a-52b8-9765-69a0ca068066,dopabeans_matcha,DopaBeans Matcha,matcha,Matcha,3300,AED,0,Japanese green tea dopabeans matcha with milk or flavor twist.,,,,1,,
e2dd1793-ac74-511b-ba44-cd071f21c1c6,cloud_matcha,Cloud Matcha,matcha,Matcha,2950,AED,0,Japanese green tea cloud matcha with milk or flavor twist.,,,,1,,
8c032038-716e-527c-9ade-e83e41315061,strawberry_matcha,Strawberry Matcha,matcha,Matcha,2950,AED,0,Japanese green tea strawberry matcha with milk or flavor twist.,,,,1,,
fdb2e285-ae96-5a1f-a432-27f1d93441aa,special_karkade,Special Karkade,mojitos,Mojitos,3000,AED,0,Refreshing mojito-style Special Karkade.,,,,1,,
eb256c30-7eeb-55ec-a602-5492f06306d1,mojitos,Mojitos,mojitos,Mojitos,3000,AED,0,Refreshing mojito-style Mojitos.,,,,1,,
c63258b6-5b6c-5719-b170-3ec6bb408aaf,a_a_smoothie,Açaí Smoothie,a_a,Açaí,3400,AED,0,Refreshing Açaí Smoothie made with açaí base.,,,,1,,
746bbc70-fb31-5ebb-9be1-ad7b39627cba,a_a_bowl,Açaí Bowl,a_a,Açaí,4000,AED,0,Refreshing Açaí Bowl made with açaí base.,,,,1,,
d9b16282-1132-5ce8-bfb8-05f817dcc124,v60,V60,filtered_coffee,Filtered Coffee,3300,AED,0,Hand-brewed filtered coffee using the V60 method.,,,,1,,
9e9a9010-bcec-575e-9028-3b9f6be0e048,cold_brew,Cold Brew,filtered_coffee,Filtered Coffee,3000,AED,0,Smooth and refreshing slow-brewed cold coffee.,,,,1,,
